Team1,Team2,Winner,Margin,Ground,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2,Match Year,Match Month,Match Day,Margin (Runs),Margin (Wickets),Batting Ranking Difference,Bowling Ranking Difference
India,Pakistan,India,5 runs,Johannesburg,46,67.13,65.87,80.67,63.4,0,0,0,0,100.0,2007,9,24,5.0,0.0,1.259999999999991,17.270000000000003
Australia,India,India,15 runs,Durban,45,66.54,70.2,58.77,82.4,0,0,0,0,0.0,2007,9,22,15.0,0.0,3.6599999999999966,23.630000000000003
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,44,66.07,67.2,68.6,66.6,0,0,0,0,0.0,2007,9,22,0.0,6.0,1.1300000000000097,2.0
South Africa,India,India,37 runs,Durban,43,69.53,75.67,76.93,86.33,0,0,0,0,0.0,2007,9,20,37.0,0.0,6.140000000000001,9.399999999999991
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,42,75.53,69.67,70.6,68.33,0,0,0,0,0.0,2007,9,20,0.0,4.0,5.859999999999999,2.269999999999996
Australia,Sri Lanka,Australia,10 wickets,Cape Town,41,67.38,72.07,59.54,73.53,0,0,0,0,0.0,2007,9,20,0.0,10.0,4.689999999999998,13.990000000000002
England,India,India,18 runs,Durban,40,65.87,81.53,73.27,88.8,0,0,0,0,50.0,2007,9,19,18.0,0.0,15.659999999999997,15.530000000000001
South Africa,New Zealand,South Africa,6 wickets,Durban,39,70.8,65.73,74.93,69.6,0,0,0,0,0.0,2007,9,19,0.0,6.0,5.069999999999993,5.3300000000000125
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,38,73.53,72.4,72.33,72.13,0,0,0,0,0.0,2007,9,18,64.0,0.0,1.1299999999999955,0.20000000000000284
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,37,66.85,69.27,59.15,69.07,0,0,0,0,0.0,2007,9,18,0.0,6.0,2.4200000000000017,9.919999999999995
England,New Zealand,New Zealand,5 runs,Durban,36,69.53,66.4,69.2,72.33,0,0,0,0,0.0,2007,9,18,5.0,0.0,3.1299999999999955,3.1299999999999955
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,35,70.07,74.13,74.07,74.87,0,0,0,0,0.0,2007,9,17,33.0,0.0,4.060000000000002,0.8000000000000114
South Africa,England,South Africa,19 runs,Cape Town,34,71.67,70.07,75.4,69.8,0,0,0,0,0.0,2007,9,16,19.0,0.0,1.6000000000000085,5.6000000000000085
Australia,Bangladesh,Australia,9 wickets,Cape Town,33,65.46,72.47,60.08,71.4,0,0,0,0,0.0,2007,9,16,0.0,9.0,7.010000000000005,11.320000000000007
India,New Zealand,New Zealand,10 runs,Johannesburg,32,87.0,70.33,90.2,75.2,0,0,0,0,0.0,2007,9,16,10.0,0.0,16.67,15.0
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,31,72.07,73.2,81.0,72.4,0,0,0,0,0.0,2007,9,15,0.0,7.0,1.1300000000000097,8.599999999999994
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,30,75.4,74.27,82.73,77.07,0,0,0,0,50.0,2007,9,15,0.0,7.0,1.1300000000000097,5.660000000000011
India,Pakistan,tied,-,Durban,29,95.13,67.0,97.4,73.27,0,0,0,0,0.0,2007,9,14,0.0,0.0,28.129999999999995,24.13000000000001
Australia,England,Australia,8 wickets,Cape Town,28,64.62,72.6,61.54,69.73,0,0,0,0,50.0,2007,9,14,0.0,8.0,7.97999999999999,8.190000000000005
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,27,89.13,83.8,88.73,81.6,0,0,0,0,0.0,2007,9,14,172.0,0.0,5.329999999999998,7.13000000000001
India,Scotland,no result,-,Durban,26,94.93,95.33,97.8,95.6,0,0,0,0,0.0,2007,9,13,0.0,0.0,0.3999999999999915,2.200000000000003
England,Zimbabwe,England,50 runs,Cape Town,25,73.53,84.53,76.07,82.8,0,0,0,0,0.0,2007,9,13,50.0,0.0,11.0,6.730000000000004
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,24,74.53,69.13,75.87,68.4,0,0,0,0,0.0,2007,9,13,0.0,6.0,5.400000000000006,7.469999999999999
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,23,66.15,92.8,62.0,93.0,0,0,0,0,0.0,2007,9,12,0.0,5.0,26.64999999999999,31.0
Pakistan,Scotland,Pakistan,51 runs,Durban,22,68.8,101.0,77.07,101.0,0,0,0,0,0.0,2007,9,12,51.0,0.0,32.2,23.930000000000007
Kenya,New Zealand,New Zealand,9 wickets,Durban,21,86.4,71.53,84.73,82.4,0,0,0,0,0.0,2007,9,12,0.0,9.0,14.870000000000005,2.3299999999999983
South Africa,West Indies,South Africa,8 wickets,Johannesburg,20,71.67,65.87,80.33,70.67,0,0,0,0,0.0,2007,9,11,0.0,8.0,5.799999999999997,9.659999999999997
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,116,75.2,80.67,67.67,75.07,1,0,1,0,66.6,2009,6,21,0.0,8.0,5.469999999999999,7.3999999999999915
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,115,80.2,72.2,77.27,70.8,1,0,1,0,0.0,2009,6,19,57.0,0.0,8.0,6.469999999999999
Pakistan,South Africa,Pakistan,7 runs,Nottingham,114,76.33,70.93,69.4,66.73,1,0,1,0,0.0,2009,6,18,7.0,0.0,5.3999999999999915,2.6700000000000017
India,South Africa,South Africa,12 runs,Nottingham,113,70.67,71.2,71.27,68.2,1,1,1,0,100.0,2009,6,16,12.0,0.0,0.5300000000000011,3.069999999999993
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,112,74.33,81.6,77.33,78.33,1,0,1,0,33.3,2009,6,16,48.0,0.0,7.269999999999996,1.0
England,West Indies,West Indies,5 wickets,The Oval,111,74.93,71.0,69.13,73.13,1,0,1,0,33.3,2009,6,15,0.0,5.0,3.930000000000007,4.0
Ireland,Pakistan,Pakistan,39 runs,The Oval,110,94.47,76.93,89.53,71.73,0,0,1,0,0.0,2009,6,15,39.0,0.0,17.539999999999992,17.799999999999997
England,India,England,3 runs,Lord's,109,77.67,71.33,70.33,73.67,1,0,1,1,0.0,2009,6,14,3.0,0.0,6.340000000000003,3.3400000000000034
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,108,96.87,81.2,92.8,79.2,0,0,1,0,0.0,2009,6,14,9.0,0.0,15.670000000000002,13.599999999999994
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,107,73.47,77.6,75.87,72.93,1,0,1,0,0.0,2009,6,13,0.0,6.0,4.1299999999999955,2.9399999999999977
South Africa,West Indies,South Africa,20 runs,The Oval,106,72.0,70.8,70.4,72.47,1,0,1,0,66.6,2009,6,13,20.0,0.0,1.2000000000000028,2.069999999999993
India,West Indies,West Indies,7 wickets,Lord's,105,72.33,73.27,75.47,76.47,1,1,1,0,0.0,2009,6,12,0.0,7.0,0.9399999999999977,1.0
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,104,77.0,81.33,73.4,79.4,1,0,1,0,66.6,2009,6,12,19.0,0.0,4.329999999999998,6.0
England,South Africa,South Africa,7 wickets,Nottingham,103,76.27,74.0,71.27,72.53,1,0,1,0,0.0,2009,6,11,0.0,7.0,2.269999999999996,1.2600000000000051
Ireland,New Zealand,New Zealand,83 runs,Nottingham,102,96.8,76.07,96.13,78.47,0,0,1,0,0.0,2009,6,11,83.0,0.0,20.730000000000004,17.659999999999997
India,Ireland,India,8 wickets,Nottingham,101,71.73,96.33,75.07,96.8,1,1,0,0,0.0,2009,6,10,0.0,8.0,24.599999999999994,21.730000000000004
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,100,80.47,78.47,79.8,77.33,1,0,1,0,0.0,2009,6,10,15.0,0.0,2.0,2.469999999999999
New Zealand,South Africa,South Africa,1 run,Lord's,99,75.13,72.8,80.47,76.0,1,0,1,0,33.3,2009,6,9,0.0,0.0,2.3299999999999983,4.469999999999999
Netherlands,Pakistan,Pakistan,82 runs,Lord's,98,89.4,77.87,90.67,73.93,0,0,1,0,0.0,2009,6,9,82.0,0.0,11.530000000000001,16.739999999999995
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,97,74.73,82.33,65.07,81.87,1,0,1,0,0.0,2009,6,8,0.0,6.0,7.599999999999994,16.80000000000001
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,96,94.0,101.0,80.53,98.27,1,0,0,0,0.0,2009,6,8,0.0,6.0,7.0,17.739999999999995
England,Pakistan,England,48 runs,The Oval,95,76.6,77.47,72.2,74.73,1,0,1,0,0.0,2009,6,7,48.0,0.0,0.8700000000000045,2.530000000000001
Scotland,South Africa,South Africa,130 runs,The Oval,94,90.13,75.2,94.73,77.07,1,0,1,0,0.0,2009,6,7,130.0,0.0,14.929999999999993,17.66000000000001
Bangladesh,India,India,25 runs,Nottingham,93,93.8,70.93,82.2,77.4,1,0,1,1,0.0,2009,6,6,25.0,0.0,22.86999999999999,4.799999999999997
Australia,West Indies,West Indies,7 wickets,The Oval,92,74.73,79.33,65.4,79.93,1,0,1,0,0.0,2009,6,6,0.0,7.0,4.599999999999994,14.530000000000001
New Zealand,Scotland,New Zealand,7 wickets,The Oval,91,73.53,92.67,77.0,94.6,1,0,1,0,0.0,2009,6,6,0.0,7.0,19.14,17.599999999999994
England,Netherlands,Netherlands,4 wickets,Lord's,90,79.67,94.6,72.67,93.0,1,0,1,0,0.0,2009,6,5,0.0,4.0,14.929999999999993,20.33
Australia,England,England,7 wickets,Bridgetown,177,70.73,70.4,74.0,75.2,2,0,2,0,50.0,2010,5,16,0.0,7.0,0.3299999999999983,1.2000000000000028
Australia,Pakistan,Australia,3 wickets,Gros Islet,176,71.27,68.53,74.47,76.33,2,0,2,1,33.3,2010,5,14,0.0,3.0,2.739999999999995,1.8599999999999994
England,Sri Lanka,England,7 wickets,Gros Islet,175,72.33,76.67,76.8,76.93,2,0,2,0,0.0,2010,5,13,0.0,7.0,4.340000000000003,0.13000000000000966
West Indies,Australia,Australia,6 wickets,Gros Islet,174,82.07,71.27,72.33,75.73,2,0,2,0,50.0,2010,5,11,0.0,6.0,10.799999999999997,3.4000000000000057
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,173,72.6,77.53,82.73,76.93,2,1,2,0,66.6,2010,5,11,0.0,5.0,4.930000000000007,5.799999999999997
England,New Zealand,England,3 wickets,Gros Islet,172,73.53,70.2,79.47,64.13,2,0,2,0,75.0,2010,5,10,0.0,3.0,3.3299999999999983,15.340000000000003
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,171,69.73,67.27,77.13,70.2,2,1,2,0,50.0,2010,5,10,11.0,0.0,2.460000000000008,6.929999999999993
Australia,Sri Lanka,Australia,81 runs,Bridgetown,170,71.93,77.6,76.2,76.6,2,0,2,0,50.0,2010,5,9,81.0,0.0,5.6699999999999875,0.3999999999999915
West Indies,India,West Indies,14 runs,Bridgetown,169,83.07,73.0,73.27,83.93,2,0,2,1,100.0,2010,5,9,14.0,0.0,10.069999999999993,10.66000000000001
England,South Africa,England,39 runs,Bridgetown,168,74.73,66.27,81.87,71.4,2,0,2,0,25.0,2010,5,8,39.0,0.0,8.460000000000008,10.469999999999999
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,167,69.6,70.2,64.87,77.33,2,0,2,1,0.0,2010,5,8,0.0,0.0,0.6000000000000085,12.459999999999994
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,166,83.8,77.27,73.27,77.27,2,0,2,0,0.0,2010,5,7,57.0,0.0,6.530000000000001,4.0
Australia,India,Australia,49 runs,Bridgetown,165,72.47,73.47,76.73,84.8,2,0,2,1,33.3,2010,5,7,49.0,0.0,1.0,8.069999999999993
New Zealand,South Africa,South Africa,13 runs,Bridgetown,164,69.87,66.47,65.13,72.93,2,0,2,0,25.0,2010,5,6,13.0,0.0,3.4000000000000057,7.800000000000011
England,Pakistan,England,6 wickets,Bridgetown,163,76.87,70.6,82.27,75.13,2,0,2,1,50.0,2010,5,6,0.0,6.0,6.27000000000001,7.140000000000001
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,162,97.2,66.6,96.6,74.07,0,0,2,0,0.0,2010,5,5,59.0,0.0,30.60000000000001,22.53
Australia,Bangladesh,Australia,27 runs,Bridgetown,161,72.27,89.2,78.07,87.07,2,0,2,0,100.0,2010,5,5,27.0,0.0,16.930000000000007,9.0
England,Ireland,no result,-,Providence,160,76.93,92.47,81.87,84.2,2,0,1,0,0.0,2010,5,4,0.0,0.0,15.539999999999992,2.3299999999999983
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,159,69.07,89.0,65.33,90.07,2,0,1,0,0.0,2010,5,4,7.0,0.0,19.930000000000007,24.739999999999995
West Indies,England,West Indies,8 wickets,Providence,158,83.93,78.07,74.33,81.13,2,0,2,0,75.0,2010,5,3,0.0,8.0,5.860000000000014,6.799999999999997
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,157,77.67,88.4,76.87,91.73,2,0,1,0,100.0,2010,5,3,14.0,0.0,10.730000000000004,14.86
Australia,Pakistan,Australia,34 runs,Gros Islet,156,73.4,70.47,79.47,75.2,2,0,2,1,33.3,2010,5,2,34.0,0.0,2.930000000000007,4.269999999999996
India,South Africa,India,14 runs,Gros Islet,155,76.07,66.6,85.0,74.47,2,1,2,0,66.6,2010,5,2,14.0,0.0,9.469999999999999,10.530000000000001
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,154,91.93,71.53,86.6,76.73,2,0,2,1,0.0,2010,5,1,21.0,0.0,20.400000000000006,9.86999999999999
Afghanistan,India,India,7 wickets,Gros Islet,153,96.13,75.73,97.6,86.6,0,0,2,1,0.0,2010,5,1,0.0,7.0,20.39999999999999,11.0
West Indies,Ireland,West Indies,70 runs,Providence,152,83.67,91.13,75.6,85.6,2,0,1,0,0.0,2010,4,30,70.0,0.0,7.459999999999994,10.0
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,151,68.6,77.73,66.0,76.07,2,0,2,0,50.0,2010,4,30,0.0,2.0,9.13000000000001,10.069999999999993
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),289,82.73,68.87,74.33,74.2,3,0,3,0,100.0,2012,10,7,36.0,0.0,13.86,0.12999999999999545
Australia,West Indies,West Indies,74 runs,Colombo (RPS),288,74.4,70.0,75.73,78.53,3,0,3,0,57.14,2012,10,5,74.0,0.0,4.400000000000006,2.799999999999997
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),287,83.73,66.6,75.13,66.0,3,0,3,1,33.3,2012,10,4,16.0,0.0,17.13000000000001,9.129999999999995
India,South Africa,India,1 run,Colombo (RPS),286,64.47,79.6,80.93,68.73,3,1,3,0,66.6,2012,10,2,0.0,0.0,15.129999999999995,12.200000000000003
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),285,74.8,68.27,79.8,68.53,3,0,3,1,40.0,2012,10,2,32.0,0.0,6.530000000000001,11.269999999999996
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,284,84.8,81.67,75.47,72.0,3,0,3,1,100.0,2012,10,1,19.0,0.0,3.1299999999999955,3.469999999999999
New Zealand,West Indies,tied,-,Pallekele,283,72.27,70.67,72.07,81.4,3,0,3,0,20.0,2012,10,1,0.0,0.0,1.5999999999999943,9.330000000000013
India,Pakistan,India,8 wickets,Colombo (RPS),282,65.73,67.8,83.2,66.0,3,1,3,1,50.0,2012,9,30,0.0,8.0,2.069999999999993,17.200000000000003
Australia,South Africa,Australia,8 wickets,Colombo (RPS),281,74.33,79.27,81.0,68.87,3,0,3,0,50.0,2012,9,30,0.0,8.0,4.939999999999998,12.129999999999995
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,280,84.8,71.6,75.47,78.4,3,0,3,0,100.0,2012,9,29,0.0,9.0,13.200000000000003,2.930000000000007
England,New Zealand,England,6 wickets,Pallekele,279,78.6,72.87,72.4,71.6,3,1,3,0,80.0,2012,9,29,0.0,6.0,5.72999999999999,0.8000000000000114
Australia,India,Australia,9 wickets,Colombo (RPS),278,74.4,65.53,84.13,83.67,3,0,3,1,50.0,2012,9,28,0.0,9.0,8.870000000000005,0.45999999999999375
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),277,67.0,79.0,66.13,70.0,3,1,3,0,40.0,2012,9,28,0.0,2.0,12.0,3.8700000000000045
England,West Indies,West Indies,15 runs,Pallekele,276,79.47,73.33,73.2,78.87,3,1,3,0,37.5,2012,9,27,15.0,0.0,6.140000000000001,5.670000000000002
Sri Lanka,New Zealand,tied,-,Pallekele,275,84.47,73.6,75.67,71.6,3,0,3,0,50.0,2012,9,27,0.0,0.0,10.870000000000005,4.070000000000007
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,274,91.2,68.47,83.13,67.2,3,0,3,1,0.0,2012,9,25,0.0,8.0,22.730000000000004,15.929999999999993
Ireland,West Indies,no result,-,Colombo (RPS),273,87.87,71.8,79.73,81.0,2,0,3,0,0.0,2012,9,24,0.0,0.0,16.070000000000007,1.269999999999996
England,India,India,90 runs,Colombo (RPS),272,77.33,65.67,73.13,84.27,3,1,3,1,75.0,2012,9,23,90.0,0.0,11.659999999999997,11.14
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,271,74.07,72.4,71.53,67.13,3,0,3,1,37.5,2012,9,23,13.0,0.0,1.6699999999999875,4.400000000000006
Australia,West Indies,Australia,17 runs,Colombo (RPS),270,73.8,71.93,85.07,80.47,3,0,3,0,57.14,2012,9,22,17.0,0.0,1.8699999999999903,4.599999999999994
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,269,84.13,77.93,74.87,69.27,3,0,3,0,0.0,2012,9,22,32.0,0.0,6.199999999999989,5.6000000000000085
Afghanistan,England,England,116 runs,Colombo (RPS),268,95.0,78.73,97.67,74.6,1,0,3,1,0.0,2012,9,21,116.0,0.0,16.269999999999996,23.070000000000007
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,267,91.0,73.47,83.27,72.8,3,0,3,0,0.0,2012,9,21,59.0,0.0,17.53,10.469999999999999
